name	type	primary	secondary	equipment	mechanics	level	force
Cuban Press 	Strength	Shoulders	Traps	Dumbbell	Compound	Intermediate	Push
Dancer's Stretch A.K.A Cross-Body Back Stretch 	Stretching	LowerBack	"Abductors,Glutes"	None	N/A	Beginner	Static
Dead Bug 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Deadlift with Bands A.K.A Band Deadlift 	Powerlifting	LowerBack	"Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Barbell	Compound	Expert	Pull
Deadlift with Chains A.K.A Chain Deadlift 	Powerlifting	LowerBack	"Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Barbell	Compound	Expert	Pull
Decline Barbell Bench Press 	Strength	Chest	"Shoulders,Triceps"	Barbell	Compound	Beginner	Push
Decline Close-Grip Bench To Skull Crusher 	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Decline Crunch 	Strength	Abdominals	N/A	None	Isolation	Intermediate	Pull
Decline Dumbbell Bench Press 	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Decline Dumbbell Flyes 	Strength	Chest	N/A	Dumbbell	Compound	Beginner	Push
Decline Dumbbell Triceps Extension A.K.A Decline Dumbbell Skullcrusher 	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
Decline Explosive Push-Up 	Plyometrics	Chest	"Shoulders,Triceps"	Other	Compound	Intermediate	Push
Decline EZ Bar Triceps Extension A.K.A EZ Bar Decline Skullcrusher 	Strength	Triceps	N/A	Barbell	Isolation	Beginner	Push
Decline Oblique Crunch 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Decline Push-Up 	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Decline Reverse Crunch 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Decline Smith Press 	Strength	Chest	"Shoulders,Triceps"	Machine	Compound	Beginner	Push
Defensive Slide 	Cardio	Quadriceps	"Adductors,Calves,Glutes,Hamstrings"	None	N/A	Beginner	N/A
Deficit Deadlift A.K.A Deadlift from a Deficit 	Powerlifting	LowerBack	"Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps"	Barbell	Compound	Intermediate	Pull
Depth Jump Leap 	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Diamond Push-Up 	Strength	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
Dip Machine 	Strength	Triceps	"Chest,Shoulders"	Machine	Compound	Beginner	Push
Dips - Chest Version A.K.A Chest Dips 	Strength	Chest	"Shoulders,Triceps"	Other	Compound	Intermediate	Push
"Dips - Triceps Version A.K.A Triceps Dips, Tricep Dips "	Strength	Triceps	"Chest,Shoulders"	None	Compound	Beginner	Push
Dive Bomber Push-Up 	Strength	Chest	"Shoulders,Triceps"	None	Compound	Intermediate	Push
Donkey Calf Raises 	Strength	Calves	N/A	Other	Isolation	Intermediate	Push
Double Kettlebell Alternating Hang Clean A.K.A Alternating Kettlebell Clean 	Strength	Hamstrings	"Biceps,Calves,Forearms,Glutes,LowerBack,Quadriceps,Traps"	Kettlebells	Compound	Intermediate	Pull
Double Kettlebell Jerk A.K.A Double Kettlebell Split Jerk 	Strength	Shoulders	"Calves,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Double Kettlebell Push Press 	Strength	Shoulders	"Calves,Quadriceps,Triceps"	Kettlebells	Compound	Intermediate	Push
Double Kettlebell Snatch 	Strength	Shoulders	"Glutes,Hamstrings,Quadriceps"	Kettlebells	Compound	Expert	Pull
Double Kettlebell Windmill 	Strength	Abdominals	"Glutes,Hamstrings,Shoulders,Triceps"	Kettlebells	N/A	Intermediate	Pull
Double Leg Butt Kick 	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Downward Facing Balance A.K.A Hip Extension 	Strength	Glutes	"Abdominals,Hamstrings"	Exercise Ball	Isolation	Intermediate	Static
Drag Curl 	Strength	Biceps	Forearms	Barbell	Compound	Intermediate	Pull
Drop Push A.K.A plyometric push-up 	Plyometrics	Chest	"Shoulders,Triceps"	Other	Compound	Intermediate	Push
Dumbbell Alternate Bicep Curl A.K.A Alternating Dumbbell Curl 	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Dumbbell Bench Press 	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Dumbbell Bench Press with Neutral Grip 	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Dumbbell Bicep Curl A.K.A Dumbbell Curls 	Strength	Biceps	Forearms	Dumbbell	Isolation	Beginner	Pull
Dumbbell Clean A.K.A Dumbbell Power Clean 	Strength	Hamstrings	"Calves,Forearms,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Dumbbell	Compound	Intermediate	Pull
Dumbbell Clean And Jerk 	Strength	Shoulders	"Calves,Glutes,Hamstrings,MiddleBack,Quadriceps,Traps,Triceps"	Dumbbell	Compound	Expert	Push
Dumbbell Floor Press A.K.A Floor Press with Dumbbells 	Powerlifting	Triceps	"Chest,Shoulders"	Dumbbell	Compound	Intermediate	Push
Dumbbell Flyes 	Strength	Chest	N/A	Dumbbell	Isolation	Beginner	Push
Dumbbell Front Squat 	Strength	Quadriceps	"Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Goblet Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Incline Row A.K.A Chest-supported Dumbbell Row 	Strength	MiddleBack	"Biceps,Forearms,Lats,Shoulders"	Dumbbell	Compound	Beginner	Pull
Dumbbell Incline Shoulder Raise 	Strength	Shoulders	Triceps	Dumbbell	Isolation	Beginner	Push
Dumbbell Jump Squat 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Lunge and Curl 	Strength	Quadriceps	"Biceps,Calves,Glutes,Hamstrings"	Dumbbell	Compound	Intermediate	Push
Dumbbell Lunges 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
"Dumbbell Lying One-Arm Rear Lateral Raise A.K.A Dumbbell Reverse Fly, Dumbbell Rear Delt Raise "	Strength	Shoulders	MiddleBack	Dumbbell	Isolation	Intermediate	Pull
Dumbbell Lying Pronation 	Strength	Forearms	N/A	Dumbbell	Isolation	Intermediate	Pull
"Dumbbell Lying Rear Lateral Raise A.K.A Reverse Dumbbell Fly, Rear Delt Raise "	Strength	Shoulders	N/A	Dumbbell	Isolation	Intermediate	Pull
Dumbbell Lying Supination 	Strength	Forearms	N/A	Dumbbell	Isolation	Intermediate	Pull
Dumbbell One-Arm Shoulder Press A.K.A Single Dumbbell Press 	Strength	Shoulders	Triceps	Dumbbell	Compound	Intermediate	Push
Dumbbell One-Arm Triceps Extension 	Strength	Triceps	N/A	Dumbbell	Isolation	Intermediate	Push
Dumbbell One-Arm Upright Row 	Strength	Shoulders	"Biceps,Traps"	Dumbbell	Compound	Intermediate	Pull
Dumbbell Overhead Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack,Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Push
Dumbbell Prone Incline Curl 	Strength	Biceps	N/A	Dumbbell	Isolation	Intermediate	Pull
Dumbbell Raise A.K.A Dumbbell Upright Row 	Strength	Shoulders	Biceps	Dumbbell	Compound	Beginner	Pull
Dumbbell Rear Delt Row 	Strength	Shoulders	"Biceps,Lats,MiddleBack"	Dumbbell	Compound	Beginner	Pull
Dumbbell Rear Lunge 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Intermediate	Push
Dumbbell Scaption 	Strength	Shoulders	Traps	Dumbbell	Isolation	Beginner	Push
Dumbbell Seated Box Jump 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Intermediate	Push
Dumbbell Seated One-Leg Calf Raise A.K.A Dumbbell Seated Calf Raise 	Strength	Calves	N/A	Dumbbell	Isolation	Beginner	Push
Dumbbell Shoulder Press 	Strength	Shoulders	Triceps	Dumbbell	Compound	Intermediate	Push
Dumbbell Shrug 	Strength	Traps	N/A	Dumbbell	Isolation	Beginner	Pull
Dumbbell Side Bend 	Strength	Abdominals	N/A	Dumbbell	Isolation	Beginner	Pull
Dumbbell Side Lunge 	Strength	Quadriceps	"Adductors,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dumbbell Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Dumbbell	Compound	Beginner	Push
Dumbbell Squat To A Bench 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack"	Dumbbell	Compound	Intermediate	Push
Dumbbell Squat To Shoulder Press 	Strength	Shoulders	"Glutes,Hamstrings,Quadriceps,Traps"	Dumbbell	Compound	Intermediate	Push
Dumbbell Step Ups 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Intermediate	Push
Dumbbell Tricep Extension -Pronated Grip A.K.A Dumbbell Skull Crusher 	Strength	Triceps	N/A	Dumbbell	Isolation	Beginner	Push
Dumbbell V-Sit Cross Jab 	Strength	Abdominals	"Lats,MiddleBack,Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Push
Dumbbell Walking Lunge 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Dumbbell	Compound	Beginner	Push
Dynamic Back Stretch 	Stretching	Lats	N/A	None	N/A	Beginner	Pull
Dynamic Chest Stretch 	Stretching	Chest	MiddleBack	None	N/A	Beginner	Pull
Elbow Circles 	Stretching	Shoulders	Traps	None	Isolation	Beginner	Pull
Elbow to Knee 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Elbows Back 	Stretching	Chest	Shoulders	None	Isolation	Beginner	Static
Elevated Back Lunge 	Strength	Quadriceps	"Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Elevated Cable Rows 	Strength	Lats	"MiddleBack,Traps"	Cable	Compound	Intermediate	Pull
Elliptical Trainer 	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	N/A	Intermediate	N/A
Exercise Ball Crunch 	Strength	Abdominals	N/A	Exercise Ball	Isolation	Beginner	Pull
Exercise Ball Pull-In A.K.A Ab Pull-In 	Strength	Abdominals	N/A	Exercise Ball	Compound	Beginner	Pull
Extended Range One-Arm Kettlebell Floor Press A.K.A Single-Arm Floor Press 	Strength	Chest	"Shoulders,Triceps"	Kettlebells	Compound	Beginner	Push
External Rotation 	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Pull
External Rotation with Band 	Strength	Shoulders	N/A	Bands	Compound	Beginner	Pull
External Rotation with Cable 	Strength	Shoulders	N/A	Cable	Isolation	Beginner	Pull
EZ-Bar Curl A.K.A E-Z Curls 	Strength	Biceps	N/A	E-Z Curl Bar	Isolation	Beginner	Pull
EZ-Bar Skullcrusher 	Strength	Triceps	Forearms	E-Z Curl Bar	Isolation	Beginner	Push
Face Pull 	Strength	Shoulders	MiddleBack	Cable	Compound	Intermediate	Pull
Farmer's Walk A.K.A Farmer's Carry 	Strongman	Forearms	"Abdominals,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Other	Compound	Intermediate	N/A
Fast Kick With Arm Circles 	Cardio	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders"	None	Compound	Beginner	N/A
Fast Skipping 	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
Feet Jack 	Plyometrics	Quadriceps	Calves	None	Compound	Beginner	N/A
Finger Curls 	Strength	Forearms	N/A	Barbell	Isolation	Beginner	Pull
Fire Hydrant A.K.A Kneeling Hip Abduction 	Strength	Abductors	Glutes	None	Isolation	Beginner	Push
Flat Bench Cable Flyes 	Strength	Chest	N/A	Cable	Isolation	Intermediate	Push
Flat Bench Leg Pull-In 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Flat Bench Lying Leg Raise 	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Flexor Incline Dumbbell Curls 	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Floor Glute-Ham Raise 	Strength	Hamstrings	"Calves,Glutes"	None	Isolation	Intermediate	Pull
Floor Press 	Powerlifting	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Floor Press with Chains 	Powerlifting	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Flutter Kicks 	Strength	Glutes	Hamstrings	None	Compound	Beginner	Pull
Foot-SMR A.K.A Myofascial Release on Foot Arch 	Stretching	Calves	N/A	Other	N/A	Intermediate	Static
Football Up-Down 	Cardio	Quadriceps	"Calves,Chest,Hamstrings,Shoulders,Triceps"	None	Compound	Intermediate	N/A
Forward Band Walk 	Strength	Quadriceps	"Glutes,Hamstrings"	Bands	Compound	Beginner	Push
Forward Drag with Press A.K.A Sled Drag with Press 	Strongman	Chest	"Calves,Glutes,Hamstrings,Quadriceps,Shoulders,Triceps"	Other	Compound	Intermediate	Push
Frankenstein Squat A.K.A Hands-Free Front Squat 	OlympicWeightlifting	Quadriceps	"Abdominals,Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Freehand Jump Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Frog Hops A.K.A Prisoner Squat Jump 	Stretching	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Frog Sit-Ups 	Strength	Abdominals	N/A	None	Isolation	Intermediate	Pull
Front Barbell Squat A.K.A Front Squats 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Expert	Push
Front Barbell Squat To A Bench 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Expert	Push
Front Box Jump 	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Quadriceps"	Other	Compound	Beginner	Push
Front Cable Raise 	Strength	Shoulders	N/A	Cable	Isolation	Beginner	Push
Front Cone Hops (or hurdle hops) 	Plyometrics	Quadriceps	"Abductors,Adductors,Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Front Dumbbell Raise A.K.A Alternating Front Raise 	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Front Dumbbell Raise Using Towel 	Strength	Shoulders	Traps	Dumbbell	Isolation	Beginner	Push
Front Incline Dumbbell Raise 	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Front Leg Raises 	Stretching	Hamstrings	N/A	None	N/A	Beginner	Pull
Front Plate Raise 	Strength	Shoulders	N/A	Other	Isolation	Intermediate	Push
Front Raise And Pullover 	Strength	Chest	"Lats,Shoulders,Triceps"	Barbell	Compound	Beginner	Pull
Front Squat (Bodybuilder) 	Strength	Quadriceps	"Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Front Squat (Clean Grip) 	Strength	Quadriceps	"Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Front Squat Push Press 	Strength	Quadriceps	"Abdominals,MiddleBack,Shoulders,Traps,Triceps"	Barbell	Compound	Intermediate	Push
Front Squats With Two Kettlebells A.K.A Kettlebell Front Squat 	Strength	Quadriceps	"Calves,Glutes"	Kettlebells	Compound	Intermediate	Push
Front Two-Dumbbell Raise 	Strength	Shoulders	N/A	Dumbbell	Isolation	Beginner	Push
Front-To-Back Squat With Belt 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Barbell	Compound	Intermediate	Push
Full Range-Of-Motion Lat Pulldown A.K.A Cross-Pulley Pulldown 	Strength	Lats	"Biceps,MiddleBack,Shoulders"	Cable	Compound	Intermediate	Pull
Gironda Sternum Chins 	Strength	Lats	"Biceps,MiddleBack"	Other	Compound	Intermediate	Pull
Glute Bridge Hamstring Walkout 	Strength	Glutes	Hamstrings	None	Isolation	Beginner	Push
Glute Ham Raise 	Powerlifting	Hamstrings	"Calves,Glutes"	Machine	Compound	Intermediate	Pull
Glute Kickback 	Strength	Glutes	Hamstrings	None	Compound	Beginner	Push
Goblet Squat A.K.A Kettlebell Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders"	Kettlebells	Compound	Beginner	Push
Good Morning 	Powerlifting	Hamstrings	"Abdominals,Glutes,LowerBack"	Barbell	Compound	Intermediate	Push
Good Morning off Pins A.K.A Bottoms Up Good Morning 	Powerlifting	Hamstrings	"Abdominals,Glutes,LowerBack"	Barbell	Compound	Intermediate	Push
"Gorilla Chin/Crunch A.K.A Gorilla Chin, Gorilla Crunch "	Strength	Abdominals	"Biceps,Lats"	None	Compound	Intermediate	Pull
Groin and Back Stretch 	Stretching	Adductors	N/A	None	Compound	Intermediate	Static
Groiners 	Stretching	Adductors	N/A	None	Compound	Intermediate	Pull
Hack Squat A.K.A Hack Squats 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Machine	Compound	Beginner	Push
Half-kneeling Dumbbell Shoulder Press 	Strength	Shoulders	Triceps	Dumbbell	Compound	Intermediate	Push
Hammer Curls A.K.A Neutral Grip Biceps Curl 	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Hammer Grip Incline DB Bench Press A.K.A Neutral Incline Dumbbell Press 	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Hamstring Stretch 	Stretching	Hamstrings	N/A	None	Isolation	Beginner	Static
"Hamstring-SMR A.K.A Foam Roll Hamstrings, Hamstrings Myofascial Release "	Stretching	Hamstrings	N/A	Foam Roll	Isolation	Beginner	Static
Hand Release Push-Up 	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Hand Stand Push-Up 	Strength	Shoulders	"Abdominals,Triceps"	None	Compound	Expert	Push
Handstand Push-Ups 	Strength	Shoulders	Triceps	None	Compound	Expert	Push
Hang Clean 	OlympicWeightlifting	Quadriceps	"Calves,Forearms,Glutes,Hamstrings,LowerBack,Shoulders,Traps"	Barbell	Compound	Intermediate	Pull
Hang Clean - Below the Knees 	OlympicWeightlifting	Quadriceps	"Calves,Forearms,Glutes,Hamstrings,LowerBack,Shoulders,Traps"	Barbell	Compound	Intermediate	Pull
Hang Snatch 	OlympicWeightlifting	Hamstrings	"Abdominals,Calves,Forearms,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Barbell	Compound	Expert	Pull
Hang Snatch - Below Knees 	OlympicWeightlifting	Hamstrings	"Abdominals,Calves,Forearms,Glutes,LowerBack,Quadriceps,Shoulders,Traps"	Barbell	Compound	Expert	Pull
Hanging Bar Good Morning A.K.A Suspended Good Morning 	Powerlifting	Hamstrings	"Abdominals,Glutes,LowerBack"	Barbell	Compound	Intermediate	Push
Hanging Leg Raise A.K.A Hanging Leg Raises 	Strength	Abdominals	N/A	None	Isolation	Expert	Pull
Hanging Oblique Knee Raise 	Strength	Abdominals	N/A	None	Isolation	Expert	Pull
Hanging Pike 	Strength	Abdominals	N/A	None	Compound	Expert	Pull
Hanging Pike 	Strength	Abdominals	N/A	None	Compound	Expert	Pull
Heaving Snatch Balance A.K.A Drop Snatch 	OlympicWeightlifting	Quadriceps	"Abdominals,Forearms,Glutes,Hamstrings,Shoulders,Triceps"	Barbell	Compound	Intermediate	Push
Heavy Bag Thrust 	Plyometrics	Chest	"Abdominals,Shoulders,Triceps"	Other	Compound	Beginner	Push
High Cable Curls 	Strength	Biceps	N/A	Cable	Compound	Intermediate	Pull
High Kick 	Stretching	Hamstrings	N/A	None	Compound	Beginner	N/A
High Knee Jog 	Cardio	Quadriceps	"Calves,Hamstrings"	None	N/A	Intermediate	Push
Hip Circle 	Stretching	Abductors	Adductors	None	Compound	Beginner	N/A
Hip Circles (prone) 	Stretching	Abductors	Adductors	None	Isolation	Beginner	Pull
Hip Crossover 	Stretching	Abductors	N/A	None	Compound	Beginner	Pull
Hip Extension with Bands A.K.A Glute Kickback 	Strength	Glutes	Hamstrings	Bands	Compound	Beginner	Push
Hip Flexion with Band 	Strength	Quadriceps	N/A	Bands	Compound	Beginner	Pull
"Hip Lift with Band A.K.A Floor Bridge, Glute Bridge, Hip Thrust "	Powerlifting	Glutes	"Calves,Hamstrings"	Bands	Compound	Beginner	Push
Hip Stretch With Twist 	Stretching	Hamstrings	"Abdominals,Chest,Quadriceps"	None	Compound	Beginner	N/A
Hug A Ball 	Stretching	LowerBack	"Calves,Glutes"	Exercise Ball	Isolation	Beginner	Static
Hug Knees To Chest 	Stretching	LowerBack	Glutes	None	N/A	Beginner	Static
Hurdle Hops 	Plyometrics	Hamstrings	"Abductors,Adductors,Calves,Glutes,Hamstrings"	Other	Compound	Beginner	Push
Hyperextensions (Back Extensions) 	Strength	LowerBack	"Glutes,Hamstrings"	Other	Isolation	Beginner	Pull
Hyperextensions With No Hyperextension Bench 	Strength	LowerBack	"Glutes,Hamstrings"	None	Compound	Intermediate	Pull
Ice Skater 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	Push
"Iliotibial Tract-SMR A.K.A Myofascial Release IT Band, Foam Roll Iliotibial Band "	Stretching	Abductors	N/A	Foam Roll	Isolation	Intermediate	Static
Inchworm 	Stretching	Hamstrings	N/A	None	Compound	Beginner	N/A
Incline Barbell Triceps Extension A.K.A Incline Barbell Skull Crusher 	Strength	Triceps	Forearms	Barbell	Isolation	Intermediate	Push
Incline Bench Pull A.K.A Chest Supported Row 	Strength	MiddleBack	"Lats,Shoulders"	Barbell	Isolation	Beginner	Pull
Incline Cable Chest Press A.K.A Incline Cable Elevators 	Strength	Chest	"Shoulders,Triceps"	Cable	Compound	Beginner	Push
Incline Cable Flye 	Strength	Chest	Shoulders	Cable	Isolation	Intermediate	Push
Incline Dumbbell Bench With Palms Facing In A.K.A Neutral Incline Dumbbell Bench Press 	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Incline Dumbbell Curl A.K.A Incline Dumbbell Curls 	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Incline Dumbbell Flyes A.K.A Incline Bench Flyes 	Strength	Chest	Shoulders	Dumbbell	Compound	Beginner	Push
Incline Dumbbell Flyes - With A Twist A.K.A Supinating Incline Dumbbell Flyes 	Strength	Chest	Shoulders	Dumbbell	Compound	Beginner	Push
Incline Dumbbell Press 	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Beginner	Push
Incline Dumbbell Press Reverse-Grip 	Strength	Chest	"Shoulders,Triceps"	Dumbbell	Compound	Intermediate	Push
Incline Hammer Curls 	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	Pull
Incline Inner Biceps Curl 	Strength	Biceps	N/A	Dumbbell	Isolation	Beginner	N/A
Incline Push-Up 	Strength	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Push
Incline Push-Up Close-Grip 	Strength	Triceps	"Chest,Shoulders"	None	Compound	Beginner	Push
Incline Push-Up Depth Jump A.K.A Plyometric Push-up 	Plyometrics	Chest	"Shoulders,Triceps"	Other	Compound	Beginner	Push
Incline Push-Up Medium 	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Incline Push-Up Reverse Grip 	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Incline Push-Up Wide 	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
Intermediate Groin Stretch 	Stretching	Hamstrings	N/A	Other	Isolation	Intermediate	Static
Intermediate Hip Flexor and Quad Stretch 	Stretching	Quadriceps	N/A	Other	Compound	Intermediate	Static
Internal Rotation with Band 	Strength	Shoulders	N/A	Bands	Isolation	Beginner	N/A
Inverted Row A.K.A Horizontal Barbell Pull Up 	Strength	MiddleBack	Lats	None	Compound	Beginner	Pull
Inverted Row with Straps 	Strength	MiddleBack	"Biceps,Lats"	Other	Compound	Beginner	Pull
Iron Cross 	Strength	Shoulders	"Chest,Glutes,Hamstrings,LowerBack,Quadriceps,Traps"	Dumbbell	Compound	Intermediate	Push
Iron Crosses (stretch) 	Stretching	Quadriceps	N/A	None	Compound	Intermediate	Pull
Isometric Chest Squeezes 	Plyometrics	Chest	"Shoulders,Triceps"	None	Compound	Beginner	Static
Isometric Neck Exercise - Front And Back 	Strength	Neck	N/A	None	Isolation	Beginner	Static
Isometric Neck Exercise - Sides 	Strength	Neck	N/A	None	Isolation	Beginner	Static
Isometric Wipers 	Strength	Chest	"Abdominals,Shoulders,Triceps"	None	Compound	Beginner	Push
IT Band and Glute Stretch 	Stretching	Abductors	N/A	Other	N/A	Intermediate	Static
Jackknife Sit-Up A.K.A V-Up 	Strength	Abdominals	N/A	None	Compound	Beginner	Pull
Janda Sit-Up 	Strength	Abdominals	N/A	None	Isolation	Beginner	Pull
Jefferson Squats 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,LowerBack,Traps"	Barbell	Compound	Intermediate	Push
Jerk Balance 	OlympicWeightlifting	Shoulders	"Glutes,Hamstrings,Quadriceps,Triceps"	Barbell	Compound	Intermediate	Push
Jerk Dip Squat A.K.A Dip Squat 	OlympicWeightlifting	Quadriceps	"Abdominals,Calves"	Barbell	Compound	Intermediate	Push
JM Press 	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Beginner	Push
JM Press 	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Beginner	Push
JM Press With Bands 	Strength	Triceps	"Chest,Shoulders"	Barbell	Compound	Intermediate	Push
Jog In Place 	Cardio	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Beginner	N/A
Jogging-Treadmill 	Cardio	Quadriceps	"Glutes,Hamstrings"	Machine	N/A	Beginner	N/A
Jump Lunge To Feet Jack 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Jump Squat 	Plyometrics	Quadriceps	"Calves,Glutes,Hamstrings"	None	Compound	Intermediate	Push
Jumping Jacks 	Plyometrics	Quadriceps	"Calves,Shoulders"	None	Compound	Beginner	N/A
Keg Load 	Strongman	LowerBack	"Abdominals,Biceps,Calves,Forearms,Glutes,Hamstrings,MiddleBack,Quadriceps,Shoulders,Traps"	Other	Compound	Intermediate	Pull
Kettlebell Arnold Press 	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
Kettlebell Curtsy Lunge 	Strength	Quadriceps	"Calves,Glutes,Hamstrings"	Kettlebells	Compound	Beginner	Push
Kettlebell Dead Clean 	Strength	Hamstrings	"Calves,Glutes,LowerBack,Quadriceps,Traps"	Kettlebells	Compound	Intermediate	Pull
Kettlebell Figure 8 	Strength	Abdominals	"Hamstrings,Shoulders"	Kettlebells	N/A	Intermediate	Pull
Kettlebell Hang Clean 	Strength	Hamstrings	"Calves,Glutes,LowerBack,Shoulders,Traps"	Kettlebells	Compound	Intermediate	Pull
Kettlebell One-Legged Deadlift A.K.A Single-Leg Deadlift 	Strength	Hamstrings	"Glutes,LowerBack"	Kettlebells	Compound	Intermediate	Pull
Kettlebell Pass Between The Legs 	Strength	Abdominals	"Glutes,Hamstrings,Shoulders"	Kettlebells	Compound	Intermediate	Pull
Kettlebell Pirate Ships 	Strength	Shoulders	Abdominals	Kettlebells	Compound	Beginner	Push
Kettlebell Pistol Squat A.K.A Kettlebell One-Legged Squat 	Strength	Quadriceps	"Calves,Glutes,Hamstrings,Shoulders"	Kettlebells	Compound	Expert	Push
Kettlebell Seated Press 	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
Kettlebell Seesaw Press 	Strength	Shoulders	Triceps	Kettlebells	Compound	Intermediate	Push
